,test_win_rate,test_score,test_ties,train_win_rate,train_score,train_ties,episode,total_score,total_played,train_loss_policy,train_loss_value
77,0.32,-0.36,0.0,0.48,-0.04,0.0,7700,-172.0,7700,0.00879934229221822,0.2832219285621571
78,0.52,0.04,0.0,0.48,-0.04,0.0,7800,-176.0,7800,0.0018594935377964123,0.2238969236631748
79,0.36,-0.28,0.0,0.42,-0.16,0.0,7900,-192.0,7900,0.005478366222126662,0.2581912796227163
80,0.52,0.04,0.0,0.52,0.04,0.0,8000,-188.0,8000,0.004546618469777836,0.22083448773798114
81,0.52,0.04,0.0,0.54,0.08,0.0,8100,-180.0,8100,0.007374284696548753,0.2739908436169246
82,0.44,-0.12,0.0,0.46,-0.08,0.0,8200,-188.0,8200,0.015351576627400828,0.2114291107593953
83,0.52,0.04,0.0,0.46,-0.08,0.0,8300,-198.0,8300,0.0032427452216701362,0.246763428029116
84,0.4,-0.2,0.0,0.44,-0.12,0.0,8400,-210.0,8400,0.0040743408305037795,0.2702679405552099
85,0.56,0.12,0.0,0.52,0.04,0.0,8500,-206.0,8500,0.004564633599711933,0.26716637525005615
86,0.36,-0.28,0.0,0.5,0.0,0.0,8600,-206.0,8600,0.0067177626408131096,0.24787988625118665
87,0.56,0.12,0.0,0.49,-0.02,0.0,8700,-206.0,8700,0.0065347460736755675,0.25340472158163085
88,0.52,0.04,0.0,0.44,-0.12,0.0,8800,-218.0,8800,0.004315938251584459,0.25293053919952047
89,0.4,-0.2,0.0,0.55,0.1,0.0,8900,-208.0,8900,0.006809819102440283,0.28539596735242456
90,0.44,-0.12,0.0,0.52,0.04,0.0,9000,-204.0,9000,0.009156817051464303,0.2581305988653502
91,0.4,-0.2,0.0,0.45,-0.1,0.0,9100,-216.0,9100,0.00564043028404412,0.2719023264642386
92,0.48,-0.04,0.0,0.57,0.14,0.0,9200,-200.0,9200,0.006306646772698775,0.26398881640944005
